dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_lp_solves,mean_labels_generated,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p5.2.s.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.5989252000581473,1.5989252000581473,2.0,396264.0,100.0,0.0,0.0
chao,p5.2.t.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.416381400078535,1.416381400078535,2.0,396264.0,100.0,0.0,0.0
chao,p5.2.u.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.4478887000586838,1.4478887000586838,2.0,396264.0,100.0,0.0,0.0
chao,p5.2.v.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.5248496000422165,1.5248496000422165,2.0,396264.0,100.0,0.0,0.0
chao,p5.2.w.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.485205400036648,1.485205400036648,2.0,396264.0,100.0,0.0,0.0
chao,p5.2.x.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.501312099979259,1.501312099979259,2.0,396264.0,100.0,0.0,0.0
chao,p5.2.y.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.4242568999761716,1.4242568999761716,2.0,396264.0,100.0,0.0,0.0
chao,p5.2.z.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.5493703000247478,1.5493703000247478,2.0,396264.0,100.0,0.0,0.0
chao,p5.3.a.txt,66,3,1,0.0,0.0,0.0,0.0,0.05174939997959882,0.05174939997959882,1.0,1408.0,100.0,0.0,0.0
chao,p5.3.b.txt,66,3,1,15.0,15.0,15.0,0.0,0.07820400001946837,0.07820400001946837,1.0,4180.0,100.0,0.0,0.0
chao,p5.3.c.txt,66,3,1,20.0,20.0,20.0,0.0,0.17970440001226962,0.17970440001226962,1.0,1320.0,100.0,0.0,0.0
chao,p5.3.d.txt,66,3,1,60.0,60.0,60.0,0.0,0.10052560002077371,0.10052560002077371,1.0,8272.0,100.0,0.0,0.0
chao,p5.3.e.txt,66,3,1,85.0,85.0,85.0,0.0,0.1837249998934567,0.1837249998934567,2.0,27280.0,100.0,0.0,0.0
chao,p5.3.f.txt,66,3,1,110.0,110.0,110.0,0.0,0.32387339998967946,0.32387339998967946,4.0,55308.0,100.0,0.0,0.0
chao,p5.3.g.txt,66,3,1,160.0,160.0,160.0,0.0,0.3508596000028774,0.3508596000028774,3.0,58030.0,100.0,0.0,0.0
chao,p5.3.h.txt,66,3,1,260.0,260.0,260.0,0.0,1.5258327999617904,1.5258327999617904,12.0,268256.0,100.0,0.0,0.0
chao,p5.3.i.txt,66,3,1,255.0,255.0,255.0,0.0,0.7550817000446841,0.7550817000446841,4.0,73128.0,100.0,0.0,0.0
chao,p5.3.j.txt,66,3,1,380.0,380.0,380.0,0.0,1.832836200017482,1.832836200017482,7.0,209592.0,100.0,0.0,0.0
chao,p5.3.k.txt,66,3,1,465.0,465.0,465.0,0.0,2.885246800025925,2.885246800025925,10.0,394996.0,100.0,0.0,0.0
chao,p5.3.l.txt,66,3,1,575.0,575.0,575.0,0.0,3.852614799980074,3.852614799980074,11.0,511807.0,100.0,0.0,0.0
chao,p5.3.m.txt,66,3,1,650.0,650.0,650.0,0.0,4.240620099939406,4.240620099939406,11.0,648328.0,100.0,0.0,0.0
chao,p5.3.n.txt,66,3,1,755.0,755.0,755.0,0.0,3.828462800011039,3.828462800011039,9.0,626798.0,100.0,0.0,0.0
chao,p5.3.o.txt,66,3,1,830.0,830.0,830.0,0.0,5.167384000029415,5.167384000029415,10.0,853780.0,100.0,0.0,0.0
