dataset,instance,num_nodes_base,team_size_base,runs_base,reference_best_score_base,best_score_base,mean_score_base,std_score_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,mean_iterations_to_convergence_base,success_rate_percent_base,mean_gap_to_reference_best_percent_base,max_gap_to_reference_best_percent_base,num_nodes_improved,team_size_improved,runs_improved,reference_best_score_improved,best_score_improved,mean_score_improved,std_score_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,mean_iterations_to_convergence_improved,success_rate_percent_improved,mean_gap_to_reference_best_percent_improved,max_gap_to_reference_best_percent_improved,score_delta,cpu_delta,gap_delta
chao,p4.3.r.txt,100,3,2,1175.0,1175.0,1165.0,14.142135623730953,0.4337631000089459,0.4337631000089459,12.0,50.0,0.851063829787234,1.702127659574468,100,3,2,1181.0,1181.0,1178.5,3.5355339059327378,0.3583883499995863,0.3583883499995863,4.5,50.0,0.2116850127011007,0.4233700254022015,13.5,-0.07537475000935961,-0.6393788170861333
chao,p4.3.s.txt,100,3,2,1239.0,1239.0,1228.5,14.849242404917495,0.500598450016696,0.500598450016696,14.0,50.0,0.847457627118644,1.694915254237288,100,3,2,1253.0,1253.0,1251.5,2.1213203435596424,0.3126126999995904,0.3126126999995904,18.0,50.0,0.1197126895450917,0.2394253790901835,23.0,-0.1879857500171056,-0.7277449375735523
chao,p4.3.t.txt,100,3,2,1271.0,1271.0,1261.0,14.142135623730953,0.6333029000088573,0.6333029000088573,16.5,50.0,0.7867820613690008,1.5735641227380015,100,3,2,1274.0,1274.0,1272.0,2.8284271247461903,0.3408557999991899,0.3408557999991899,14.5,50.0,0.1569858712715855,0.3139717425431711,11.0,-0.29244710000966734,-0.6297961900974153
chao,p4.4.a.txt,100,4,2,0.0,0.0,0.0,0.0,0.0171388000599108,0.0171388000599108,0.0,100.0,0.0,0.0,100,4,2,0.0,0.0,0.0,0.0,0.0108074500003567,0.0108074500003567,0.0,100.0,0.0,0.0,0.0,-0.006331350059554101,0.0
chao,p4.4.b.txt,100,4,2,0.0,0.0,0.0,0.0,0.0152657500002533,0.0152657500002533,0.0,100.0,0.0,0.0,100,4,2,0.0,0.0,0.0,0.0,0.0100265500004752,0.0100265500004752,0.0,100.0,0.0,0.0,0.0,-0.0052391999997781005,0.0
chao,p4.4.c.txt,100,4,2,0.0,0.0,0.0,0.0,0.0126824000035412,0.0126824000035412,0.0,100.0,0.0,0.0,100,4,2,0.0,0.0,0.0,0.0,0.0100444999998217,0.0100444999998217,0.0,100.0,0.0,0.0,0.0,-0.0026379000037195007,0.0
chao,p4.4.d.txt,100,4,2,38.0,38.0,38.0,0.0,0.0416772000025957,0.0416772000025957,0.0,100.0,0.0,0.0,100,4,2,38.0,38.0,38.0,0.0,1.5211095999993631,1.5211095999993631,0.0,100.0,0.0,0.0,0.0,1.4794323999967673,0.0
chao,p4.4.e.txt,100,4,2,182.0,182.0,182.0,0.0,0.0987828000215813,0.0987828000215813,10.5,100.0,0.0,0.0,100,4,2,172.0,172.0,172.0,0.0,0.0921187499998268,0.0921187499998268,0.0,100.0,0.0,0.0,-10.0,-0.006664050021754492,0.0
chao,p4.4.f.txt,100,4,2,315.0,315.0,312.0,4.242640687119285,0.2224123000050895,0.2224123000050895,14.5,50.0,0.9523809523809524,1.9047619047619049,100,4,2,315.0,315.0,311.0,5.656854249492381,0.1295421999993777,0.1295421999993777,14.5,50.0,1.2698412698412698,2.5396825396825395,-1.0,-0.0928701000057118,0.31746031746031733
chao,p4.4.g.txt,100,4,2,444.0,444.0,438.5,7.7781745930520225,0.2005915500340052,0.2005915500340052,15.0,50.0,1.2387387387387387,2.477477477477477,100,4,2,455.0,455.0,438.5,23.33452377915607,0.171000350000213,0.171000350000213,8.0,50.0,3.626373626373627,7.252747252747254,0.0,-0.029591200033792203,2.387634887634888
