dataset,instance,num_nodes_base,team_size_base,runs_base,reference_best_score_base,best_score_base,mean_score_base,std_score_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,mean_lp_solves_base,mean_labels_generated_base,success_rate_percent_base,mean_gap_to_reference_best_percent_base,max_gap_to_reference_best_percent_base,num_nodes_improved,team_size_improved,runs_improved,reference_best_score_improved,best_score_improved,mean_score_improved,std_score_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,mean_lp_solves_improved,mean_labels_generated_improved,success_rate_percent_improved,mean_gap_to_reference_best_percent_improved,max_gap_to_reference_best_percent_improved,score_delta,cpu_delta,gap_delta
chao,p4.4.c.txt,100,4,1,0.0,0.0,0.0,0.0,0.0388707999372854,0.0388707999372854,1.0,2156.0,100.0,0.0,0.0,100,4,2,0.0,0.0,0.0,0.0,0.1279508500592783,0.1279508500592783,3.0,6468.0,100.0,0.0,0.0,0.0,0.08908005012199291,0.0
chao,p4.4.d.txt,100,4,1,38.0,38.0,38.0,0.0,0.0589591999305412,0.0589591999305412,1.0,6424.0,100.0,0.0,0.0,100,4,2,38.0,38.0,38.0,0.0,0.133192749985028,0.133192749985028,3.0,19272.0,100.0,0.0,0.0,0.0,0.0742335500544868,0.0
chao,p4.4.e.txt,100,4,1,181.0,181.0,181.0,0.0,1.0820590000366792,1.0820590000366792,12.0,363550.0,100.0,0.0,0.0,100,4,2,181.0,181.0,181.0,0.0,1.8963261999888343,1.8963261999888343,36.0,1090650.0,100.0,0.0,0.0,0.0,0.8142671999521551,0.0
chao,p4.4.f.txt,100,4,1,214.0,214.0,214.0,0.0,0.3996482000220567,0.3996482000220567,2.0,87472.0,100.0,0.0,0.0,100,4,2,214.0,214.0,214.0,0.0,0.6135731499525718,0.6135731499525718,6.0,262416.0,100.0,0.0,0.0,0.0,0.21392494993051514,0.0
chao,p4.4.g.txt,100,4,1,340.0,340.0,340.0,0.0,2.030070299981162,2.030070299981162,12.0,871750.0,100.0,0.0,0.0,100,4,2,340.0,340.0,340.0,0.0,3.886264000087977,3.886264000087977,36.0,2615250.0,100.0,0.0,0.0,0.0,1.856193700106815,0.0
chao,p4.4.h.txt,100,4,1,305.0,305.0,305.0,0.0,0.6748438000213355,0.6748438000213355,2.0,265232.0,100.0,0.0,0.0,100,4,2,305.0,305.0,305.0,0.0,1.2466240499634296,1.2466240499634296,6.0,795696.0,100.0,0.0,0.0,0.0,0.5717802499420941,0.0
chao,p4.4.i.txt,100,4,1,467.0,467.0,467.0,0.0,4.468217699904926,4.468217699904926,12.0,1497584.0,100.0,0.0,0.0,100,4,2,467.0,467.0,467.0,0.0,6.997099199972581,6.997099199972581,36.0,4492752.0,100.0,0.0,0.0,0.0,2.528881500067655,0.0
chao,p4.4.j.txt,100,4,1,361.0,361.0,361.0,0.0,1.1653653000248596,1.1653653000248596,2.0,360360.0,100.0,0.0,0.0,100,4,2,361.0,361.0,361.0,0.0,2.140233799989801,2.140233799989801,6.0,1081080.0,100.0,0.0,0.0,0.0,0.9748684999649413,0.0
chao,p4.4.k.txt,100,4,1,386.0,386.0,386.0,0.0,6.251668200013228,6.251668200013228,12.0,2118116.0,100.0,0.0,0.0,100,4,2,386.0,386.0,386.0,0.0,10.862273850070778,10.862273850070778,36.0,6354348.0,100.0,0.0,0.0,0.0,4.6106056500575505,0.0
chao,p4.4.l.txt,100,4,1,394.0,394.0,394.0,0.0,1.6327831000089643,1.6327831000089643,2.0,360360.0,100.0,0.0,0.0,100,4,2,394.0,394.0,394.0,0.0,3.0030111000523902,3.0030111000523902,6.0,1081080.0,100.0,0.0,0.0,0.0,1.370228000043426,0.0
