dataset,instance,score,gap_to_reference_best_percent
chao,p6.3.h.txt,444.0,0.0
chao,p6.3.i.txt,606.0,0.9803921568627451
chao,p6.3.i.txt,612.0,0.0
chao,p6.3.j.txt,828.0,0.0
chao,p6.3.j.txt,768.0,7.246376811594203
chao,p6.3.k.txt,888.0,0.0
chao,p6.3.k.txt,888.0,0.0
chao,p6.3.l.txt,990.0,0.0
chao,p6.3.l.txt,990.0,0.0
chao,p6.3.m.txt,1068.0,0.0
chao,p6.3.m.txt,1014.0,5.056179775280898
chao,p6.3.n.txt,1146.0,1.0362694300518136
chao,p6.3.n.txt,1158.0,0.0
chao,p6.4.a.txt,0.0,0.0
chao,p6.4.a.txt,0.0,0.0
chao,p6.4.b.txt,0.0,0.0
chao,p6.4.b.txt,0.0,0.0
chao,p6.4.c.txt,0.0,0.0
chao,p6.4.c.txt,0.0,0.0
chao,p6.4.d.txt,0.0,0.0
chao,p6.4.d.txt,0.0,0.0
chao,p6.4.e.txt,0.0,0.0
chao,p6.4.e.txt,0.0,0.0
chao,p6.4.f.txt,0.0,0.0
chao,p6.4.f.txt,0.0,0.0
chao,p6.4.g.txt,0.0,0.0
chao,p6.4.g.txt,0.0,0.0
chao,p6.4.h.txt,0.0,0.0
chao,p6.4.h.txt,0.0,0.0
chao,p6.4.i.txt,0.0,0.0
chao,p6.4.i.txt,0.0,0.0
chao,p6.4.j.txt,366.0,0.0
chao,p6.4.j.txt,360.0,1.639344262295082
chao,p6.4.k.txt,516.0,1.1494252873563218
chao,p6.4.k.txt,522.0,0.0
chao,p6.4.l.txt,684.0,0.0
chao,p6.4.l.txt,684.0,0.0
chao,p6.4.m.txt,870.0,1.3605442176870748
chao,p6.4.m.txt,882.0,0.0
chao,p6.4.n.txt,1020.0,4.49438202247191
chao,p6.4.n.txt,1068.0,0.0
chao,p7.2.a.txt,30.0,0.0
chao,p7.2.a.txt,30.0,0.0
chao,p7.2.b.txt,64.0,0.0
chao,p7.2.b.txt,64.0,0.0
chao,p7.2.c.txt,101.0,0.0
chao,p7.2.c.txt,101.0,0.0
chao,p7.2.d.txt,173.0,8.947368421052632
chao,p7.2.d.txt,190.0,0.0
chao,p7.2.e.txt,246.0,12.142857142857142
chao,p7.2.e.txt,280.0,0.0
chao,p7.2.f.txt,375.0,1.3157894736842104
chao,p7.2.f.txt,380.0,0.0
chao,p7.2.g.txt,396.0,4.116222760290557
chao,p7.2.g.txt,413.0,0.0
chao,p7.2.h.txt,441.0,0.0
chao,p7.2.h.txt,422.0,4.308390022675737
chao,p7.2.i.txt,537.0,4.787234042553192
chao,p7.2.i.txt,564.0,0.0
chao,p7.2.j.txt,622.0,0.0
chao,p7.2.j.txt,573.0,7.877813504823152
chao,p7.2.k.txt,655.0,0.0
chao,p7.2.k.txt,639.0,2.4427480916030535
chao,p7.2.l.txt,689.0,0.0
chao,p7.2.l.txt,664.0,3.6284470246734397
chao,p7.2.m.txt,760.0,0.0
chao,p7.2.m.txt,726.0,4.473684210526316
chao,p7.2.n.txt,776.0,4.551045510455105
chao,p7.2.n.txt,813.0,0.0
chao,p7.2.o.txt,896.0,0.6651884700665188
chao,p7.2.o.txt,902.0,0.0
chao,p7.2.p.txt,958.0,0.0
chao,p7.2.p.txt,904.0,5.6367432150313155
chao,p7.2.q.txt,960.0,4.572564612326044
chao,p7.2.q.txt,1006.0,0.0
chao,p7.2.r.txt,1019.0,0.8754863813229572
chao,p7.2.r.txt,1028.0,0.0
chao,p7.2.s.txt,1021.0,0.5842259006815969
chao,p7.2.s.txt,1027.0,0.0
chao,p7.2.t.txt,1154.0,0.0
chao,p7.2.t.txt,1133.0,1.8197573656845754
chao,p7.3.a.txt,0.0,0.0
chao,p7.3.a.txt,0.0,0.0
chao,p7.3.b.txt,46.0,0.0
chao,p7.3.b.txt,46.0,0.0
chao,p7.3.c.txt,79.0,0.0
chao,p7.3.c.txt,79.0,0.0
chao,p7.3.d.txt,117.0,0.0
chao,p7.3.d.txt,117.0,0.0
chao,p7.3.e.txt,175.0,0.0
chao,p7.3.e.txt,165.0,5.714285714285714
chao,p7.3.f.txt,247.0,0.0
chao,p7.3.f.txt,233.0,5.668016194331984
chao,p7.3.g.txt,335.0,2.616279069767442
chao,p7.3.g.txt,344.0,0.0
chao,p7.3.h.txt,377.0,9.375
chao,p7.3.h.txt,416.0,0.0
chao,p7.3.i.txt,443.0,5.9447983014862
chao,p7.3.i.txt,471.0,0.0
chao,p7.3.j.txt,539.0,0.0
chao,p7.3.j.txt,528.0,2.0408163265306123
chao,p7.3.k.txt,553.0,0.0
chao,p7.3.k.txt,552.0,0.18083182640144665
chao,p7.3.l.txt,600.0,8.396946564885496
chao,p7.3.l.txt,655.0,0.0
chao,p7.3.m.txt,701.0,0.8486562942008486
chao,p7.3.m.txt,707.0,0.0
chao,p7.3.n.txt,790.0,1.373283395755306
chao,p7.3.n.txt,801.0,0.0
chao,p7.3.o.txt,801.0,5.985915492957746
chao,p7.3.o.txt,852.0,0.0
chao,p7.3.p.txt,876.0,0.0
chao,p7.3.p.txt,829.0,5.365296803652968
chao,p7.3.q.txt,841.0,12.849740932642487
chao,p7.3.q.txt,965.0,0.0
chao,p7.3.r.txt,985.0,0.0
chao,p7.3.r.txt,955.0,3.0456852791878175
chao,p7.3.s.txt,986.0,2.376237623762376
chao,p7.3.s.txt,1010.0,0.0
chao,p7.3.t.txt,1084.0,0.0
chao,p7.3.t.txt,1073.0,1.014760147601476
chao,p7.4.a.txt,0.0,0.0
chao,p7.4.a.txt,0.0,0.0
chao,p7.4.b.txt,30.0,0.0
chao,p7.4.b.txt,30.0,0.0
chao,p7.4.c.txt,46.0,0.0
chao,p7.4.c.txt,46.0,0.0
chao,p7.4.d.txt,79.0,0.0
chao,p7.4.d.txt,79.0,0.0
chao,p7.4.e.txt,123.0,0.0
chao,p7.4.e.txt,123.0,0.0
chao,p7.4.f.txt,164.0,0.0
chao,p7.4.f.txt,164.0,0.0
chao,p7.4.g.txt,211.0,0.0
chao,p7.4.g.txt,206.0,2.3696682464454977
chao,p7.4.h.txt,285.0,0.0
chao,p7.4.h.txt,283.0,0.7017543859649122
chao,p7.4.i.txt,349.0,4.644808743169399
chao,p7.4.i.txt,366.0,0.0
chao,p7.4.j.txt,453.0,0.0
chao,p7.4.j.txt,453.0,0.0
chao,p7.4.k.txt,481.0,3.992015968063872
chao,p7.4.k.txt,501.0,0.0
chao,p7.4.l.txt,567.0,0.0
chao,p7.4.l.txt,551.0,2.821869488536155
chao,p7.4.m.txt,614.0,0.48622366288492713
chao,p7.4.m.txt,617.0,0.0
chao,p7.4.n.txt,662.0,2.7900146842878124
chao,p7.4.n.txt,681.0,0.0
chao,p7.4.o.txt,741.0,2.628120893561104
chao,p7.4.o.txt,761.0,0.0
chao,p7.4.p.txt,803.0,0.0
chao,p7.4.p.txt,782.0,2.6151930261519305
chao,p7.4.q.txt,846.0,3.4246575342465753
chao,p7.4.q.txt,876.0,0.0
chao,p7.4.r.txt,911.0,0.0
chao,p7.4.r.txt,860.0,5.598243688254665
chao,p7.4.s.txt,969.0,0.0
chao,p7.4.s.txt,918.0,5.263157894736842
chao,p7.4.t.txt,941.0,6.831683168316832
chao,p7.4.t.txt,1010.0,0.0
dang,bier127_gen1_m2.txt,101.0,0.9803921568627451
dang,bier127_gen1_m2.txt,102.0,0.0
dang,bier127_gen1_m3.txt,96.0,2.0408163265306123
dang,bier127_gen1_m3.txt,98.0,0.0
dang,bier127_gen2_m2.txt,5141.0,3.618297712785902
dang,bier127_gen2_m2.txt,5334.0,0.0
dang,bier127_gen2_m3.txt,5000.0,2.34375
dang,bier127_gen2_m3.txt,5120.0,0.0
dang,bier127_gen2_m4.txt,4802.0,1.7191977077363898
dang,bier127_gen2_m4.txt,4886.0,0.0
dang,bier127_gen3_m2.txt,2700.0,0.0
dang,bier127_gen3_m2.txt,2602.0,3.6296296296296298
dang,bier127_gen3_m3.txt,2357.0,0.0
dang,bier127_gen3_m3.txt,2304.0,2.248621128553246
dang,bier127_gen3_m4.txt,2090.0,3.4642032332563506
dang,bier127_gen3_m4.txt,2165.0,0.0
dang,cmt101c_m3.txt,1240.0,0.0
dang,cmt101c_m3.txt,1220.0,1.6129032258064515
dang,cmt151b_m3.txt,1277.0,0.0
dang,cmt151b_m3.txt,1251.0,2.0360219263899766
dang,cmt151c_m2.txt,1797.0,4.211087420042644
dang,cmt151c_m2.txt,1876.0,0.0
dang,cmt151c_m3.txt,1847.0,0.0
dang,cmt151c_m3.txt,1740.0,5.793178126691933
dang,cmt151c_m4.txt,1699.0,0.0
dang,cmt151c_m4.txt,1675.0,1.4125956444967627
dang,cmt200b_m2.txt,1858.0,5.0587634133878385
dang,cmt200b_m2.txt,1957.0,0.0
dang,cmt200b_m3.txt,1821.0,0.38293216630196936
dang,cmt200b_m3.txt,1828.0,0.0
dang,cmt200b_m4.txt,1480.0,4.020752269779507
dang,cmt200b_m4.txt,1542.0,0.0
dang,cmt200c_m2.txt,2713.0,0.0
dang,cmt200c_m2.txt,2695.0,0.6634721710283819
dang,cmt200c_m3.txt,2472.0,1.1990407673860912
dang,cmt200c_m3.txt,2502.0,0.0
dang,cmt200c_m4.txt,2318.0,0.6003430531732418
dang,cmt200c_m4.txt,2332.0,0.0
dang,eil101b_m3.txt,849.0,5.456570155902004
dang,eil101b_m3.txt,898.0,0.0
dang,eil101c_m2.txt,1268.0,1.5527950310559007
dang,eil101c_m2.txt,1288.0,0.0
dang,eil101c_m3.txt,1224.0,0.0
dang,eil101c_m3.txt,1149.0,6.127450980392156
dang,gil262_gen1_m3.txt,84.0,0.0
dang,gil262_gen1_m3.txt,76.0,9.523809523809524
dang,gil262_gen1_m4.txt,68.0,5.555555555555555
dang,gil262_gen1_m4.txt,72.0,0.0
