dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_iterations_to_convergence,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p6.2.k.txt,64,2,2,1032.0,1032.0,1032.0,0.0,0.12065379999967263,0.12065379999967263,9.5,100.0,0.0,0.0
chao,p6.2.l.txt,64,2,2,1110.0,1110.0,1110.0,0.0,0.11928869999974268,0.11928869999974268,13.0,100.0,0.0,0.0
chao,p6.2.m.txt,64,2,2,1188.0,1188.0,1170.0,25.45584412271571,0.10836894999920332,0.10836894999920332,16.0,50.0,1.5151515151515151,3.0303030303030303
chao,p6.2.n.txt,64,2,2,1248.0,1248.0,1245.0,4.242640687119285,0.13221059999978024,0.13221059999978024,15.0,50.0,0.2403846153846154,0.4807692307692308
chao,p6.3.a.txt,64,3,2,0.0,0.0,0.0,0.0,0.006068549999326933,0.006068549999326933,0.0,100.0,0.0,0.0
chao,p6.3.b.txt,64,3,2,0.0,0.0,0.0,0.0,0.005433650000668422,0.005433650000668422,0.0,100.0,0.0,0.0
chao,p6.3.c.txt,64,3,2,0.0,0.0,0.0,0.0,0.005674600000020291,0.005674600000020291,0.0,100.0,0.0,0.0
chao,p6.3.d.txt,64,3,2,0.0,0.0,0.0,0.0,0.005755500000304892,0.005755500000304892,0.0,100.0,0.0,0.0
chao,p6.3.e.txt,64,3,2,0.0,0.0,0.0,0.0,0.005705450000277779,0.005705450000277779,0.0,100.0,0.0,0.0
chao,p6.3.f.txt,64,3,2,0.0,0.0,0.0,0.0,0.005730200000471086,0.005730200000471086,0.0,100.0,0.0,0.0
chao,p6.3.g.txt,64,3,2,276.0,276.0,276.0,0.0,0.0649787499996819,0.0649787499996819,1.0,100.0,0.0,0.0
chao,p6.3.h.txt,64,3,2,444.0,444.0,441.0,4.242640687119285,0.07918889999928069,0.07918889999928069,10.0,50.0,0.6756756756756757,1.3513513513513513
chao,p6.3.i.txt,64,3,2,612.0,612.0,609.0,4.242640687119285,0.09687029999895458,0.09687029999895458,12.0,50.0,0.49019607843137253,0.9803921568627451
chao,p6.3.j.txt,64,3,2,828.0,828.0,798.0,42.42640687119285,0.9838513000004241,0.9838513000004241,10.5,50.0,3.6231884057971016,7.246376811594203
chao,p6.3.k.txt,64,3,2,888.0,888.0,888.0,0.0,0.12026710000009189,0.12026710000009189,8.0,100.0,0.0,0.0
chao,p6.3.l.txt,64,3,2,990.0,990.0,990.0,0.0,0.15486730000066018,0.15486730000066018,9.5,100.0,0.0,0.0
chao,p6.3.m.txt,64,3,2,1068.0,1068.0,1041.0,38.18376618407357,0.385963200000333,0.385963200000333,18.0,50.0,2.528089887640449,5.056179775280898
chao,p6.3.n.txt,64,3,2,1158.0,1158.0,1152.0,8.48528137423857,0.8155986499996288,0.8155986499996288,19.5,50.0,0.5181347150259068,1.0362694300518136
chao,p6.4.a.txt,64,4,2,0.0,0.0,0.0,0.0,0.007025500000054308,0.007025500000054308,0.0,100.0,0.0,0.0
chao,p6.4.b.txt,64,4,2,0.0,0.0,0.0,0.0,0.00645760000043083,0.00645760000043083,0.0,100.0,0.0,0.0
chao,p6.4.c.txt,64,4,2,0.0,0.0,0.0,0.0,0.006603100000575068,0.006603100000575068,0.0,100.0,0.0,0.0
chao,p6.4.d.txt,64,4,2,0.0,0.0,0.0,0.0,0.0064637499999662396,0.0064637499999662396,0.0,100.0,0.0,0.0
chao,p6.4.e.txt,64,4,2,0.0,0.0,0.0,0.0,0.0063548999996783095,0.0063548999996783095,0.0,100.0,0.0,0.0
chao,p6.4.f.txt,64,4,2,0.0,0.0,0.0,0.0,0.006485949999841978,0.006485949999841978,0.0,100.0,0.0,0.0
chao,p6.4.g.txt,64,4,2,0.0,0.0,0.0,0.0,0.006569099999978789,0.006569099999978789,0.0,100.0,0.0,0.0
chao,p6.4.h.txt,64,4,2,0.0,0.0,0.0,0.0,0.00637659999938478,0.00637659999938478,0.0,100.0,0.0,0.0
